Filename,Identifier,scientificName,CommonName,Comments
"Nephodia_auxesia,I_MFS9163.jpg",I_MFS9163,Nephodia auxesia,,
"Epimecis_semicompleta,I_MFS9164.jpg",I_MFS9164,Epimecis semicompleta,,
"moth,I_MFS9165.jpg",I_MFS9165,moth,,
"Synnomos_sp_san_luis_a,I_MFS9166.jpg",I_MFS9166,Synnomos sp_san_luis_a,,
"Meganola_bifiliferata,I_MFS9167.jpg",I_MFS9167,Meganola bifiliferata,,
"moth_Geometridae,I_MFS9168.jpg",I_MFS9168,moth Geometridae,,
"moth_Notodontidae,I_MFS9169.jpg",I_MFS9169,moth Notodontidae,,
"moth_Notodontidae,I_MFS9170.jpg",I_MFS9170,moth Notodontidae,,
"Anisoperas_atropunctaria,I_MFS9171.jpg",I_MFS9171,Anisoperas atropunctaria,,
"Glena_mopsaria,I_MFS9172.jpg",I_MFS9172,Glena mopsaria,,
"moth_Notodontidae,I_MFS9173.jpg",I_MFS9173,moth Notodontidae,,
"Hypercompe_icasia,I_MFS9174.jpg",I_MFS9174,Hypercompe icasia,,
"Gn_sp_san_luis_2008,I_MFS9175.jpg",I_MFS9175,Gn sp_san_luis_2008,,
"Meganola_sp_san_luis_b,I_MFS9177.jpg",I_MFS9177,Meganola sp_san_luis_b,,
"moth_Sphingidae,I_MFS9178.jpg",I_MFS9178,moth Sphingidae,,
"Nemoria_defectiva,I_MFS9179.jpg",I_MFS9179,Nemoria defectiva,,
"Macaria_delia,I_MFS9180.jpg",I_MFS9180,Macaria delia,,
"Nematocampa_completa,I_MFS9181.jpg",I_MFS9181,Nematocampa completa,,
"moth,I_MFS9182.jpg",I_MFS9182,moth,,
"Opharus_rudis,I_MFS9183.jpg",I_MFS9183,Opharus rudis,,
"insect,I_MFS9184.jpg",I_MFS9184,insect,,
"moth_Notodontidae,I_MFS9185.jpg",I_MFS9185,moth Notodontidae,,
"moth,I_MFS9186.jpg",I_MFS9186,moth,,
