Filename,Identifier,scientificName,CommonName,Comments
"Lophocampa_citrina,I_MFS13967.jpg",I_MFS13967,Lophocampa citrina,,
"moth_Noctuidae,I_MFS13968.jpg",I_MFS13968,moth Noctuidae,,
"Nemoria_pescadora,I_MFS13969.jpg",I_MFS13969,Nemoria pescadora,,
"Glena_mopsaria,I_MFS13970.jpg",I_MFS13970,Glena mopsaria,,
"moth,I_MFS13971.jpg",I_MFS13971,moth,,
"Rhabdatomis_laudamia,I_MFS13972.jpg",I_MFS13972,Rhabdatomis laudamia,,
"moth_Megalopygidae_-_Limacodidae,I_MFS13973.jpg",I_MFS13973,moth Megalopygidae - Limacodidae,,
"insect,I_MFS13974.jpg",I_MFS13974,insect,,
"Pyrinia_selecta,I_MFS13975.jpg",I_MFS13975,Pyrinia selecta,,
"Iridopsis_validaria,I_MFS13976.jpg",I_MFS13976,Iridopsis validaria,,
"Macaria_approximaria--gambarina--ostia,I_MFS13977.jpg",I_MFS13977,Macaria approximaria--gambarina--ostia,,
"moth,I_MFS13978.jpg",I_MFS13978,moth,,
"Epimecis_matronaria--nasica,I_MFS13979.jpg",I_MFS13979,Epimecis matronaria--nasica,,
"Rhabdatomis_laudamia,I_MFS13980.jpg",I_MFS13980,Rhabdatomis laudamia,,
"moth_Noctuidae,I_MFS13981.jpg",I_MFS13981,moth Noctuidae,,
"Oxydia_trychiata,I_MFS13982.jpg",I_MFS13982,Oxydia trychiata,,
"moth_Crambidae,I_MFS13983.jpg",I_MFS13983,moth Crambidae,,
"moth_Noctuidae,I_MFS13984.jpg",I_MFS13984,moth Noctuidae,,
"moth_Notodontidae,I_MFS13985.jpg",I_MFS13985,moth Notodontidae,,
"moth_Crambidae,I_MFS13986.jpg",I_MFS13986,moth Crambidae,,
"moth_Noctuidae,I_MFS13987.jpg",I_MFS13987,moth Noctuidae,,
"moth_Notodontidae,I_MFS13988.jpg",I_MFS13988,moth Notodontidae,,
"moth,I_MFS13989.jpg",I_MFS13989,moth,,
"Nemoria_pescadora,I_MFS13990.jpg",I_MFS13990,Nemoria pescadora,,
"moth,I_MFS13991.jpg",I_MFS13991,moth,,
"moth,I_MFS13992.jpg",I_MFS13992,moth,,
"moth_Geometridae,I_MFS13993.jpg",I_MFS13993,moth Geometridae,,
"moth,I_MFS13994.jpg",I_MFS13994,moth,,
"moth_Noctuidae_delta,I_MFS13995.jpg",I_MFS13995,moth Noctuidae delta,,
